simulation_id,type,top_n,stop_loss,max_position,target_vol,annual_return,sharpe,max_drawdown,win_rate,total_return
104,antithetic,11,0.19935772428945578,0.10074823061811362,0.2825891039239626,0.5951366859290781,0.2440354839596677,-0.1000299308249119,0.6666666666666666,20.36336589765915
105,original,13,0.24143645558687787,0.06952429877980446,0.1569003963032629,0.41566972936869884,0.24178844442477035,-0.0642800901831915,0.6,8.377938918553024
106,antithetic,47,0.1085635444131221,0.13047570122019556,0.2930996036967371,0.8159801315333851,0.26561709048319493,-0.09729501993241212,0.8,60.37056528066371
107,original,11,0.1484804398031133,0.12224521152615053,0.15610932034784553,0.6847005273196843,0.25292327198415265,-0.08339558200125691,0.7066666666666667,31.89488610414282
108,antithetic,49,0.2015195601968867,0.07775478847384948,0.2938906796521545,0.4766964996417138,0.25665829045999505,-0.08952794423929979,0.6666666666666666,11.957165328869534
109,original,15,0.17781859326150493,0.07807723624408558,0.2783190876016511,0.5022728730349609,0.2711026153496601,-0.08689391770554454,0.6933333333333334,14.154676467892278
110,antithetic,45,0.17218140673849505,0.12192276375591443,0.17168091239834893,0.6627850892122313,0.245165034890578,-0.09114184814577468,0.7066666666666667,27.896750630918955
111,original,13,0.20545284383427667,0.05243159664314539,0.25554867890700356,0.4458445436014737,0.25884679256465226,-0.07772623233333353,0.6266666666666667,10.237982994071288
112,antithetic,47,0.1445471561657233,0.14756840335685462,0.19445132109299645,0.8754524678243953,0.24634788002554706,-0.05517752325448085,0.7733333333333333,69.64652576958956
113,original,38,0.1545444403568941,0.11454722959071678,0.22112607436309878,0.6808249990348809,0.251525350849641,-0.08652414369523508,0.7066666666666667,31.11884963172264
114,antithetic,22,0.19545555964310588,0.08545277040928323,0.22887392563690123,0.5168232606477974,0.25614728028504274,-0.07679072699185628,0.68,14.63218686177678
115,original,27,0.2457673124081441,0.06771106794070489,0.16467512409765023,0.39473010786631246,0.2475472039222805,-0.06258949669003393,0.6133333333333333,7.591108543388497
116,antithetic,33,0.10423268759185589,0.13228893205929512,0.2853248759023498,0.8172946842372528,0.2661368389670246,-0.09729501993241212,0.8133333333333334,60.898250829605644
117,original,35,0.2443670942413167,0.1440458584352914,0.22374238126752485,0.7991202781443503,0.22396318618414382,-0.058559100719279576,0.64,43.43872243157908
118,antithetic,25,0.10563290575868328,0.0559541415647086,0.22625761873247516,0.47971803092802423,0.3557821911439774,-0.07397348131015971,0.8666666666666667,14.421435242306261
119,original,43,0.13776734437380464,0.14539285770025873,0.22102076561708484,0.882466577830165,0.24839791257093596,-0.05517752325448059,0.7866666666666666,72.66930701654655
120,antithetic,17,0.21223265562619534,0.054607142299741285,0.22897923438291518,0.3809216210472899,0.2810162566066555,-0.07539658418256341,0.6666666666666666,7.454515378778611
121,original,19,0.17458727588385783,0.14148643902204486,0.17598028048650227,0.7425598425260679,0.24246518217020221,-0.1052177221809351,0.6533333333333333,38.78650493836951
122,antithetic,41,0.17541272411614214,0.058513560977955154,0.27401971951349774,0.4246373714516162,0.31243964828293197,-0.08637730800384465,0.7333333333333333,10.004903442371814
123,original,45,0.14513174647251545,0.08701587002554444,0.21507774738569596,0.5674802198697095,0.28224104131518185,-0.06999461934529286,0.7733333333333333,20.286697111250668
124,antithetic,15,0.20486825352748453,0.11298412997445557,0.23492225261430405,0.641300070728003,0.23648449242735922,-0.09114184814577479,0.68,24.271829500507593
125,original,23,0.14272607415662014,0.051545661652886744,0.209775710159606,0.4178070479963797,0.34105097528015615,-0.06210645717662636,0.7466666666666667,9.946294083920657
126,antithetic,37,0.20727392584337984,0.14845433834711327,0.240224289840394,0.822096554174911,0.23089835989711527,-0.0589570460477738,0.6533333333333333,50.22013864370695
127,original,40,0.10553304210317993,0.14283185625877254,0.24237751470783245,0.8092728797730058,0.2635403745463589,-0.09729501993241209,0.8,58.06225014028651
128,antithetic,20,0.24446695789682005,0.05716814374122747,0.20762248529216756,0.3555202847440991,0.2624894390646604,-0.06765078272662459,0.6533333333333333,6.245054361219121
129,original,24,0.19143465009698452,0.09281841483173144,0.24526404763014656,0.5620599771829835,0.2552438071103998,-0.0848396011318053,0.6666666666666666,18.203667474596408
130,antithetic,36,0.15856534990301546,0.10718158516826858,0.20473595236985345,0.625993828029733,0.25770002683350657,-0.08381576532036532,0.7066666666666667,24.86992429612938
131,original,17,0.1754018534843292,0.14666548190436696,0.15679560146580668,0.8456239617412284,0.2378107605961572,-0.05855910071927965,0.68,58.07791764180081
132,antithetic,43,0.17459814651567077,0.053334518095633054,0.29320439853419333,0.41157226868220936,0.31461863312275284,-0.08161249115990561,0.72,9.29855956063107
133,original,23,0.1077218126874984,0.14636199770892527,0.2061918921939707,0.8970809659011596,0.25287417754324837,-0.05517752325448063,0.8,79.61240665878607
134,antithetic,37,0.24227818731250156,0.05363800229107474,0.24380810780602932,0.34438234140037866,0.26219863665694065,-0.07280657010962256,0.6533333333333333,5.834503987009803
135,original,32,0.1417969696354917,0.135300945546736,0.24387898735713545,0.7827323624587037,0.2553879201907038,-0.09729501993241212,0.7333333333333333,49.468216723762986
136,antithetic,28,0.20820303036450827,0.06469905445326402,0.20612101264286456,0.4004482635745854,0.2661148411282353,-0.08193716270630384,0.6666666666666666,8.135106988964468
137,original,49,0.23623988289499806,0.07944488920695857,0.22547043878701314,0.4450418017948806,0.24001946575350586,-0.07289958752384544,0.6266666666666667,9.721026410547843
138,antithetic,11,0.11376011710500192,0.12055511079304145,0.22452956121298687,0.7215872700319346,0.2661713677095681,-0.08339558200125696,0.8,39.984950250973704
139,original,30,0.13593428360004586,0.08850977286019253,0.27847347617824836,0.5870152520161005,0.29055246393287043,-0.07726660346027106,0.7733333333333333,22.841484408760756
140,antithetic,30,0.21406571639995411,0.11149022713980748,0.17152652382175165,0.6286216239262086,0.2318464033116641,-0.09114184814577479,0.68,22.44427150445746
141,original,25,0.12173423081368347,0.13511366715168568,0.24880404474284173,0.8011532649916441,0.2606059013631656,-0.09729501993241213,0.76,55.15798353313611
142,antithetic,35,0.22826576918631653,0.06488633284831433,0.20119595525715828,0.3845799235095037,0.25504192729478087,-0.08091528041026569,0.6533333333333333,7.285483639439855
143,original,27,0.17341791404163445,0.08169220051562777,0.17444016406221444,0.500887775775007,0.27167494243952384,-0.06855837892402793,0.7066666666666667,14.100588923395062
144,antithetic,33,0.17658208595836553,0.11830779948437224,0.27555983593778555,0.6704944102702943,0.24761423255532813,-0.09431040537701942,0.7066666666666667,29.14871398299719
145,original,33,0.24784756811659012,0.06694927466860925,0.16058531211006447,0.3944594754407524,0.24741197722025138,-0.06258949669003419,0.6133333333333333,7.577873234083622
146,antithetic,27,0.10215243188340986,0.13305072533139076,0.2894146878899355,0.820116660157203,0.26710130893919226,-0.09729501993241196,0.8133333333333334,61.95697392299287
147,original,35,0.13630829072672507,0.10568012624583502,0.24636289173094733,0.657278183744358,0.26978203082611,-0.08194119556355246,0.76,30.1390979043168
148,antithetic,25,0.2136917092732749,0.09431987375416499,0.20363710826905268,0.5384393161517462,0.24428029236827012,-0.0848396011318052,0.6666666666666666,15.64770758809275
149,original,34,0.2008203321108818,0.14361547741607808,0.15397669658124327,0.8197238561462015,0.23024075977511513,-0.05855910071927956,0.6533333333333333,49.52556466405912
150,antithetic,26,0.14917966788911818,0.05638452258392193,0.2960233034187567,0.44669832485726346,0.32798686451520653,-0.08956865649147656,0.7333333333333333,11.562612359856729
151,original,50,0.21424294229930763,0.11960297966749729,0.2378663371910195,0.6345673606024761,0.2338570412860741,-0.09114184814577495,0.68,23.249608514372923
152,antithetic,10,0.13575705770069235,0.08039702033250272,0.21213366280898052,0.6175881251813095,0.280940924691314,-0.07448130596342445,0.7866666666666666,25.91196995837215
153,original,38,0.13564563159885995,0.10700611700893649,0.29103453621374364,0.6644855220587877,0.2724674582478616,-0.09323821299323862,0.76,31.441619888823382
154,antithetic,22,0.21435436840114003,0.09299388299106352,0.15896546378625637,0.5329513967114705,0.24188958033229752,-0.08483960113180537,0.6666666666666666,15.117798458860523
155,original,24,0.20923245229177895,0.059717649377076854,0.23632112668138183,0.39556944924506965,0.27695326853577584,-0.08377168568419498,0.6666666666666666,8.059891665390175
156,antithetic,36,0.14076754770822103,0.14028235062292316,0.21367887331861818,0.7784850768870035,0.2540430556658898,-0.09729501993241195,0.7333333333333333,48.2438085331306
