ts_code,error
600690.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
600760.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
600803.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
600809.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
600845.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
600875.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
600886.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
600887.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
600893.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
600905.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
600918.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
600919.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
600926.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
600930.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
600938.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
600958.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
600989.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
600999.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
601006.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
601021.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
601058.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
601059.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
601100.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
601111.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
601127.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
601136.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
601138.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
601166.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
601169.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
601186.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
601211.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
601225.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
601229.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
601236.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
601238.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
601288.SH,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
